USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 185372  4416 ?        Ss   Apr05   0:05 /sbin/init splash
avahi      885  0.0  0.0  44784     4 ?        S    Apr05   0:00 avahi-daemon: chroot helper
syslog     887  0.0  0.0 256396  2104 ?        Ssl  Apr05   0:13 /usr/sbin/rsyslogd -n
root       892  0.0  0.0  28628  2064 ?        Ss   Apr05   0:00 /lib/systemd/systemd-logind
root       894  0.0  0.0 286948  2612 ?        Ssl  Apr05   0:16 /usr/lib/accountsservice/accounts-daemon
root       897  0.0  0.0 166432  2508 ?        Ssl  Apr05   1:27 /usr/sbin/thermald --no-daemon --dbus-enable
message+   898  0.0  0.0  43708  2776 ?        Ss   Apr05   0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       917  0.0  0.0 451300  6232 ?        Ssl  Apr05   0:01 /usr/sbin/NetworkManager --no-daemon
root       921  0.0  0.0 636576  9768 ?        Ssl  Apr05   1:14 /usr/lib/snapd/snapd
nvidia-+   932  0.0  0.0  17140     0 ?        Ss   Apr05   0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root       951  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/11:1H]
root       968  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/3:1H]
root       983  0.0  0.0 289884  5256 ?        Ssl  Apr05   0:02 /usr/lib/policykit-1/polkitd --no-debug
root       990  0.0  0.0  19584   124 ?        Ss   Apr05   1:53 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root      1002  0.0  0.0 287712  2072 ?        Ssl  Apr05   0:00 /usr/sbin/lightdm
root      1006  0.0  0.0  65508   556 ?        Ss   Apr05   0:00 /usr/sbin/sshd -D
root      1020  0.0  0.0 226580 14084 tty7     Ssl+ Apr05   0:05 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1061  0.0  0.0 226180  2436 ?        Sl   Apr05   0:00 lightdm --session-child 16 19
lightdm   1064  0.0  0.0  45276  2888 ?        Ss   Apr05   0:00 /lib/systemd/systemd --user
lightdm   1065  0.0  0.0  63660     4 ?        S    Apr05   0:00 (sd-pam)
root      1072  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/6:1H]
lightdm   1073  0.0  0.0   4504     0 ?        Ss   Apr05   0:00 /bin/sh /usr/lib/lightdm/lightdm-greeter-session /usr/sbin/unity-greeter
lightdm   1078  0.0  0.0  43032  1404 ?        Ss   Apr05   0:02 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
lightdm   1079  0.0  0.0 845504 15252 ?        Sl   Apr05   0:28 /usr/sbin/unity-greeter
lightdm   1081  0.0  0.0 346956     0 ?        Sl   Apr05   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
lightdm   1086  0.0  0.0  42764     0 ?        S    Apr05   0:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
lightdm   1088  0.0  0.0 206864   600 ?        Sl   Apr05   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
lightdm   1094  0.0  0.0 274416     4 ?        Sl   Apr05   0:00 /usr/lib/gvfs/gvfsd
lightdm   1099  0.0  0.0 352264     0 ?        Sl   Apr05   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/108/gvfs -f -o big_writes
lightdm   1109  0.0  0.0 178560  2684 ?        Sl   Apr05   0:00 /usr/lib/dconf/dconf-service
root      1112  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/1:1H]
root      1113  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/8:1H]
root      1114  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/7:1H]
root      1115  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/9:1H]
root      1116  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/4:1H]
root      1117  0.0  0.0      0     0 ?        S<   Apr05   0:00 [kworker/5:1H]
root      1118  0.0  0.0  82708     8 ?        S    Apr05   0:00 lightdm --session-child 12 19
lightdm   1121  0.0  0.0  45956  2476 ?        S    Apr05   0:00 upstart --user --startup-event indicator-services-start
lightdm   1123  0.0  0.0 585692  6184 ?        Sl   Apr05   0:00 nm-applet
lightdm   1125  0.0  0.0 363368  3460 ?        Ssl  Apr05   0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
lightdm   1126  0.0  0.0 342336     0 ?        Ssl  Apr05   0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
lightdm   1127  0.0  0.0 573988     0 ?        Ssl  Apr05   0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
lightdm   1128  0.0  0.0 457892  3156 ?        Ssl  Apr05   0:11 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
lightdm   1129  0.0  0.0 563916  9908 ?        Ssl  Apr05   0:01 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
lightdm   1130  0.0  0.0 669148  4000 ?        Ssl  Apr05   0:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
lightdm   1131  0.0  0.0 568608  4196 ?        Ssl  Apr05   0:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
lightdm   1133  0.0  0.0 476880     4 ?        Ssl  Apr05   0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
lightdm   1140  0.0  0.0 618876  5572 ?        Sl   Apr05   0:04 /usr/lib/unity-settings-daemon/unity-settings-daemon
lightdm   1177  0.0  0.0 490124  1352 ?        S<l  Apr05   0:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1178  0.0  0.0 183544     0 ?        SNsl Apr05   0:07 /usr/lib/rtkit/rtkit-daemon
root      1193  0.0  0.0 347228  2580 ?        Ssl  Apr05   0:00 /usr/lib/upower/upowerd
colord    1218  0.0  0.0 309172     4 ?        Ssl  Apr05   0:00 /usr/lib/colord/colord
root      1254  0.0  0.0  16124  2072 ?        S    Apr05   0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-enp0s31f6.pid -lf /var/lib/NetworkManager/dhclient-45d90ee1-f2f7-475d-94b8-7fa88540ba33-enp0s31f6.lease -cf /var/lib/NetworkManager/dhclient-enp0s31f6.conf enp0s31f6
nobody    1264  0.0  0.0  52864  1480 ?        S    Apr05   0:03 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
lightdm   1313  0.0  0.0 481984  2520 ?        Sl   Apr05   0:00 /usr/lib/x86_64-linux-gnu/notify-osd
whoopsie  1426  0.0  0.0 374012  2148 ?        Ssl  Apr05   0:00 /usr/bin/whoopsie -f
root      1430  0.0  0.0  15936     0 tty1     Ss+  Apr05   0:00 /sbin/agetty --noclear tty1 linux
root      2325  0.0  0.0      0     0 ?        S    Apr12   0:00 [kworker/7:0]
root      3094  0.0  0.0      0     0 ?        S    Apr13   0:04 [kworker/0:1]
root      4168  0.0  0.0      0     0 ?        S    Apr12   0:00 [kworker/8:0]
root      5187  0.0  0.0      0     0 ?        S    Apr11   0:00 [kworker/4:0]
root      5734  0.0  0.0      0     0 ?        S    13:08   0:00 [kworker/9:0]
root      6522  0.0  0.0      0     0 ?        S    Apr13   0:00 [kworker/6:0]
root      7294  0.0  0.0      0     0 ?        S    02:45   0:00 [kworker/7:2]
root      7295  0.0  0.0      0     0 ?        S    02:45   0:00 [kworker/3:2]
